ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,PARAMETER_CODE_NAME,PARAMETER_STATUS_NAME,EPA_PARAM_IR_CATEGORY_ID,USE_NAME,ATTAINMENT_CODE_NAME,PARAMETER_ATTAINMENT
UT14060004-013_00,Strawberry-4,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT14060004-013_00,Strawberry-4,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060004-013_00,Strawberry-4,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14060008-007_00,Ten Mile Canyon - Grand,TEMPERATURE,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT14060008-007_00,Ten Mile Canyon - Grand,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT-L-16020203-004_00,Mill Hollow Reservoir,"PHOSPHORUS, TOTAL",Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16020203-004_00,Mill Hollow Reservoir,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020203-014_00,Snake Creek-1,ARSENIC,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT16020203-014_00,Snake Creek-1,CHROMIUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060003-008_00,Lake Fork-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,4A,Agricultural,Not Supporting,Not meeting criteria
UT14060003-008_00,Lake Fork-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060003-008_00,Lake Fork-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Severely Habitat-Limited),Not Supporting,Not meeting criteria
UT14060003-008_00,Lake Fork-1,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060003-008_00,Lake Fork-1,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060003-008_00,Lake Fork-1,ALUMINUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-034_00,Holmes Creek-2,COPPER,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT-L-14070005-011_00,Wide Hollow Reservoir,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14070005-011_00,Wide Hollow Reservoir,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14070005-011_00,Wide Hollow Reservoir,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020204-014_00,Mountain Dell Creek-1,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT16020201-014_00,Currant Creek-Juab Valley,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16010203-009_00,Porcupine Reservoir,TEMPERATURE,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT16030004-011_00,San Pitch-4,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020102-037_00,Shepard Creek,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-037_00,Shepard Creek,COPPER,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT15010008-004_00,Virgin River-2,TEMPERATURE,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT15010008-004_00,Virgin River-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT15010008-004_00,Virgin River-2,BORON,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020203-015_00,Snake Creek-2,ESCHERICHIA COLI (E. COLI),Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT16020203-015_00,Snake Creek-2,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020203-015_00,Snake Creek-2,ARSENIC,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT-L-14060007-005_00,Scofield Reservoir,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060007-005_00,Scofield Reservoir,PH,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060007-005_00,Scofield Reservoir,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060007-005_00,Scofield Reservoir,HARMFUL ALGAL BLOOMS,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT-L-14060007-005_00,Scofield Reservoir,EUTROPHICATION,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-004_00,Weber River-7,"PHOSPHORUS, TOTAL",Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-004_00,Weber River-7,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-004_00,Weber River-7,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14080201-002_00,Blanding City Reservoir,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14080201-002_00,Blanding City Reservoir,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14080201-002_00,Blanding City Reservoir,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010202-010_00,Cub River,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16010202-010_00,Cub River,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16010202-010_00,Cub River,SEDIMENT,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020102-022_00,Weber River-6,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14070003-015_00,Mill Meadow Reservoir,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14070003-015_00,Mill Meadow Reservoir,HARMFUL ALGAL BLOOMS,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT-L-14070003-015_00,Mill Meadow Reservoir,PH,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT-L-14040106-034_00,Calder Reservoir,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14040106-034_00,Calder Reservoir,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14040106-034_00,Calder Reservoir,EUTROPHICATION,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14040106-034_00,Calder Reservoir,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14040106-034_00,Calder Reservoir,"AMMONIA, TOTAL",Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14040106-034_00,Calder Reservoir,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060010-002_00,Brough Reservoir,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060010-002_00,Brough Reservoir,MERCURY IN FISH TISSUE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14060010-002_00,Brough Reservoir,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060007-003_00,Price River-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT14060007-003_00,Price River-1,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14080203-001_00,Verdure Creek-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14080203-001_00,Verdure Creek-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16010204-002_00,Bear River Lower-East,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16010204-002_00,Bear River Lower-East,DISSOLVED OXYGEN,Cause,5,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria
UT16010204-002_00,Bear River Lower-East,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT-L-14040107-004_00,Bridger Lake,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-14040107-004_00,Bridger Lake,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-014_00,Chalk Creek3-Coalville,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-014_00,Chalk Creek3-Coalville,SEDIMENT,Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020101-014_00,Chalk Creek3-Coalville,PH,Meeting Criteria,2,Domestic Source,Fully Supporting,Meeting criteria
UT16020101-014_00,Chalk Creek3-Coalville,PH,Meeting Criteria,2,Recreation and Aesthetics (Infrequent Primary Contact),Fully Supporting,Meeting criteria
UT16020101-014_00,Chalk Creek3-Coalville,PH,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT16020101-014_00,Chalk Creek3-Coalville,PH,Meeting Criteria,2,Agricultural,Fully Supporting,Meeting criteria
UT16020101-014_00,Chalk Creek3-Coalville,HABITAT ALTERATIONS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030002-009_00,East Fork Sevier-2,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060005-009_00,Green River-3,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT14060005-009_00,Green River-3,PH,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT14060005-009_00,Green River-3,PH,Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT14060005-009_00,Green River-3,PH,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT14060005-009_00,Green River-3,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT-L-16020201-006_00,Silver Lake Flat Reservoir,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010202-009_00,Spring Creek Lewiston,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16010202-009_00,Spring Creek Lewiston,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT14060007-002_00,Scofield Tributaries,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060007-002_00,Scofield Tributaries,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060007-002_00,Scofield Tributaries,PH,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT14060007-002_00,Scofield Tributaries,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT14060007-002_00,Scofield Tributaries,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060007-002_00,Scofield Tributaries,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT-L-14060003-297_00,Paradise Park Reservoir,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030002-002_00,Otter Creek-1,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16030002-002_00,Otter Creek-1,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030002-002_00,Otter Creek-1,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16030002-002_00,Otter Creek-1,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030002-002_00,Otter Creek-1,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030002-002_00,Otter Creek-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT14070003-005_00,Fremont River-2,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14070003-005_00,Fremont River-2,ESCHERICHIA COLI (E. COLI),Cause,4A,Domestic Source,Not Supporting,Not meeting criteria
UT14070003-005_00,Fremont River-2,ESCHERICHIA COLI (E. COLI),Cause,4A,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT14070003-005_00,Fremont River-2,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14070003-005_00,Fremont River-2,PH,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT14070003-005_00,Fremont River-2,PH,Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT14070003-005_00,Fremont River-2,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14070003-005_00,Fremont River-2,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT-L-16010203-005_00,Hyrum Reservoir,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16010203-005_00,Hyrum Reservoir,DISSOLVED OXYGEN,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT-L-16010203-005_00,Hyrum Reservoir,TEMPERATURE,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT14040106-021_00,Pot Creek,ALUMINUM,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT14040106-021_00,Pot Creek,IRON,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14040106-021_00,Pot Creek,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14040106-021_00,Pot Creek,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14040106-021_00,Pot Creek,ESCHERICHIA COLI (E. COLI),Meeting Criteria,2,Recreation and Aesthetics (Infrequent Primary Contact),Fully Supporting,Meeting criteria
UT14070006-001_00,Wahweap Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14070006-001_00,Wahweap Creek,SELENIUM,Meeting Criteria,2,Aquatic Wildlife (Warm Water),Fully Supporting,Meeting criteria
UT14070006-001_00,Wahweap Creek,TEMPERATURE,Meeting Criteria,2,Aquatic Wildlife (Warm Water),Fully Supporting,Meeting criteria
UT14060010-007_00,Ashley Creek Upper,PH,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT14060010-007_00,Ashley Creek Upper,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT14060010-007_00,Ashley Creek Upper,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14060010-007_00,Ashley Creek Upper,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14060010-007_00,Ashley Creek Upper,ALUMINUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020203-006_03,Provo River-6-3,COPPER,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020203-006_03,Provo River-6-3,PH,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT16020203-006_03,Provo River-6-3,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020203-006_03,Provo River-6-3,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020203-006_03,Provo River-6-3,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020203-006_03,Provo River-6-3,ALUMINUM,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020203-006_03,Provo River-6-3,ZINC,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT16020204-010_00,City Creek-2,CADMIUM,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT-L-16010101-002_00,Birch Creek,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16010101-002_00,Birch Creek,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010203-013_00,South Fork Little Bear,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT14030005-019_00,Professor Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14030005-019_00,Professor Creek,TEMPERATURE,Meeting Criteria,2,Aquatic Wildlife (Warm Water),Fully Supporting,Meeting criteria
UT16020201-003_00,Currant Creek,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030001-006_00,Panguitch Creek-2,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT14070006-004_00,Last Chance Creek,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT14070006-004_00,Last Chance Creek,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT14070006-004_00,Last Chance Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT-L-16010202-002_00,Cutler Reservoir,EUTROPHICATION,Cause,4A,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT-L-16010202-002_00,Cutler Reservoir,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT-L-16010202-002_00,Cutler Reservoir,DISSOLVED OXYGEN,Meeting Criteria,2,Aquatic Wildlife (Warm Water),Not Supporting,Meeting criteria
UT16020204-005_00,Jordan River-5,ESCHERICHIA COLI (E. COLI),Cause,4A,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020204-005_00,Jordan River-5,TEMPERATURE,Meeting Criteria,2,Aquatic Wildlife (Warm Water),Fully Supporting,Meeting criteria
UT16020204-005_00,Jordan River-5,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14030005-007_00,Salt Wash,TOTAL DISSOLVED SOLIDS (TDS),Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT14030005-007_00,Salt Wash,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT14060010-010_00,Green River-2,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT14060010-010_00,Green River-2,SELENIUM,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT14060010-010_00,Green River-2,PH,Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT14060010-010_00,Green River-2,PH,Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT14060010-010_00,Green River-2,PH,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT14060010-010_00,Green River-2,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16010204-007_01,Middle Bear East-1,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020204-001_01,Jordan River-1,DISSOLVED OXYGEN,Cause,4A,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020204-001_01,Jordan River-1,DISSOLVED OXYGEN,Cause,4A,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria
UT16020204-001_01,Jordan River-1,ESCHERICHIA COLI (E. COLI),Meeting Criteria,2,Recreation and Aesthetics (Infrequent Primary Contact),Fully Supporting,Meeting criteria
UT16020204-001_01,Jordan River-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria
UT16020204-001_01,Jordan River-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,5,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria
UT16020204-001_01,Jordan River-1,TOTAL DISSOLVED SOLIDS (TDS),Meeting Criteria,2,Agricultural,Fully Supporting,Meeting criteria
UT16020204-001_01,Jordan River-1,COPPER,Meeting Criteria,2,Aquatic Wildlife (Warm Water),Not Supporting,Meeting criteria
UT16020204-001_01,Jordan River-1,COPPER,Meeting Criteria,2,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Meeting criteria
UT16020202-008_00,Diamond Fork-3,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020201-005_00,Salt Creek-2,PH,Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16020201-005_00,Salt Creek-2,PH,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020201-005_00,Salt Creek-2,PH,Cause,5,Agricultural,Not Supporting,Not meeting criteria
UT16020201-005_00,Salt Creek-2,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT14040106-016_00,Davenport Creek,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16020101-002_00,Rockport Reservoir,DISSOLVED OXYGEN,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT-L-16020101-002_00,Rockport Reservoir,TEMPERATURE,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT-L-16020101-002_00,Rockport Reservoir,HARMFUL ALGAL BLOOMS,Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT-L-16020101-002_00,Rockport Reservoir,ESCHERICHIA COLI (E. COLI),Cause,5,Domestic Source,Not Supporting,Not meeting criteria
UT-L-16020101-002_00,Rockport Reservoir,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT-L-16020101-002_00,Rockport Reservoir,PH,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT16030002-001_00,Otter Creek-4,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria
UT16030002-001_00,Otter Creek-4,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16030002-001_00,Otter Creek-4,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT15010008-015_00,North Fork Virgin River-1,ESCHERICHIA COLI (E. COLI),Cause,4A,Domestic Source,Fully Supporting,Meeting criteria
UT15010008-015_00,North Fork Virgin River-1,ESCHERICHIA COLI (E. COLI),Cause,4A,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT15010008-015_00,North Fork Virgin River-1,TEMPERATURE,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16010203-018_00,Blacksmith Fork-2,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria
UT-L-16020102-020_00,East Canyon Reservoir,DISSOLVED OXYGEN,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT-L-16020102-020_00,East Canyon Reservoir,"PHOSPHORUS, TOTAL",Cause,4A,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT-L-16020102-020_00,East Canyon Reservoir,PH,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT-L-16020102-020_00,East Canyon Reservoir,TEMPERATURE,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT-L-16020102-020_00,East Canyon Reservoir,ESCHERICHIA COLI (E. COLI),Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT-L-16020102-020_00,East Canyon Reservoir,HARMFUL ALGAL BLOOMS,Cause,5,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria
UT16020102-006_00,North Fork Ogden River,DISSOLVED OXYGEN,Cause,5,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria
UT16020102-006_00,North Fork Ogden River,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Meeting Criteria,2,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria
UT15010008-018_00,East Fork Virgin-1,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Insufficient Information,3,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not enough information
UT15010008-018_00,East Fork Virgin-1,TEMPERATURE,Cause,5,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria
UT16020204-006_01,Jordan River-6,SELENIUM,Meeting Criteria,2,Aquatic Wildlife (Warm Water),Not Supporting,Meeting criteria
