ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,PARAMETER_CODE_NAME,PARAMETER_STATUS_NAME,USE_NAME,ATTAINMENT_CODE_NAME,PARAMETER_ATTAINMENT,FIRST_LISTED_CYCLE
UT16020203-004_00,Provo River-4,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2022
UT14070005-002_00,Birch Creek,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16020102-023_00,Hardscrabble Creek,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2012
UT16010204-011_02,Mantua Reservoir Tributaries-2,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT15010003-004_00,Johnson Wash-1,BORON,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT16020204-022_00,Little Cottonwood Creek-2,CADMIUM,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16020204-035_00,Red Butte Creek Lower,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16010201-004_00,North Eden,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT16030003-026_00,Sevier River-7,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16020204-006_03,Dry Creek,TEMPERATURE,Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,2006
UT-L-16020201-004_02,Provo Bay portion of Utah Lake,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1994
UT14060004-010_00,Strawberry River-3,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Meeting Criteria,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria,
UT16020204-024_02,Butterfield Creek,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14060007-001_00,White River-Colton,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Threatened,2022
UT-L-16030007-011_00,Minersville Reservoir,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1994
UT16010202-002_00,Newton Creek,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2008
UT-L-16030006-002_00,Upper Enterprise Reservoir,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2016
UT16030002-002_00,Otter Creek-1,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2008
UT14070003-005_00,Fremont River-2,TEMPERATURE,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT15010003-001_00,Cottonwood Canyon,TEMPERATURE,Cause,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria,2014
UT15010003-005_00,Johnson Wash-2,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16020204-024_02,Butterfield Creek,ESCHERICHIA COLI (E. COLI),Meeting Criteria,Recreation and Aesthetics (Infrequent Primary Contact),Fully Supporting,Meeting criteria,
UT14070005-002_00,Birch Creek,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT15010003-002_02,Kanab Creek-1-2,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Non-game Fish and Other),Fully Supporting,Meeting criteria,
UT14060007-007_00,Price River-3,BORON,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14040106-009_00,Birch Spring Draw,SELENIUM,Cause,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria,2012
UT14040106-009_00,Birch Spring Draw,SELENIUM,Cause,Agricultural,Not Supporting,Not meeting criteria,2012
UT15010008-001_00,Santa Clara-1,ARSENIC,Meeting Criteria,Domestic Source,Fully Supporting,Meeting criteria,
UT14030005-009_00,Castle Creek-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2008
UT14080205-001_00,San Juan River-1,ESCHERICHIA COLI (E. COLI),Cause,Domestic Source,Not Supporting,Not meeting criteria,2020
UT14080205-001_00,San Juan River-1,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT-L-16020203-002_00,Trial Lake,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT14080201-006_00,Cottonwood Wash-2,ARSENIC,Cause,Domestic Source,Not Supporting,Not meeting criteria,2022
UT14060010-002_00,Middle Ashley Creek,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT-L-16010203-012_00,Tony Grove Lake,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2006
UT15010008-007_00,Ash Creek-1,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2016
UT-L-16030004-001_00,Ninemile Reservoir,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1998
UT16020101-020_01,Silver Creek-1,ESCHERICHIA COLI (E. COLI),Cause,Domestic Source,Not Supporting,Not meeting criteria,2020
UT16020101-020_01,Silver Creek-1,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT14060004-002_00,Indian Canyon Creek,SELENIUM,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16020204-005_00,Jordan River-5,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2006
UT14040107-001_00,Blacks Fork,PH,Meeting Criteria,Recreation and Aesthetics (Infrequent Primary Contact),Fully Supporting,Meeting criteria,
UT14040107-001_00,Blacks Fork,PH,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT14040107-001_00,Blacks Fork,PH,Meeting Criteria,Agricultural,Fully Supporting,Meeting criteria,
UT16030004-005_01,San Pitch-3-1,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2016
UT16020204-021_00,Little Cottonwood Creek-1,CADMIUM,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16030004-005_01,San Pitch-3-1,"AMMONIA, TOTAL",Cause,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria,2016
UT16030004-005_01,San Pitch-3-1,"AMMONIA, TOTAL",Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,2016
UT16020102-038_00,Farmington Creek-2,ALUMINUM,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2016
UT14080201-004_00,Johnson Creek,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2010
UT14060004-013_00,Strawberry-4,PH,Cause,Domestic Source,Not Supporting,Not meeting criteria,2014
UT14060004-013_00,Strawberry-4,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT14060004-013_00,Strawberry-4,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT14060004-013_00,Strawberry-4,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT16030003-011_00,Sevier River-12,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2022
UT16020201-003_00,Currant Creek,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2002
UT-L-14060003-297_00,Paradise Park Reservoir,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT16010203-006_00,Logan River-2,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT16010203-006_00,Logan River-2,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT16010203-006_00,Logan River-2,PH,Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,2020
UT16010203-006_00,Logan River-2,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2020
UT16020203-006_01,Provo River-6-1,ZINC,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT14070002-008_00,Ivie Creek Lower,BORON,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT16020204-006_02,Big Willow Creek,SELENIUM,Meeting Criteria,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Meeting criteria,
UT16030006-007_00,Red Creek (Iron Co.),ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT14080201-009_00,San Juan River-2,ESCHERICHIA COLI (E. COLI),Cause,Domestic Source,Not Supporting,Not meeting criteria,2020
UT14080201-009_00,San Juan River-2,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT-L-14070005-011_00,Wide Hollow Reservoir,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2008
UT14040106-014_00,Cart Creek,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT16020201-012_00,Mill Race Creek-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2016
UT16010202-015_00,Clay Slough,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2012
UT14040107-001_00,Blacks Fork,ALUMINUM,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT15010008-004_00,Virgin River-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT16020102-038_00,Farmington Creek-2,COPPER,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16030004-011_00,San Pitch-4,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT16020102-026_03,Toll Canyon,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16030001-008_00,Panguitch Creek-1,TEMPERATURE,Meeting Criteria,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria,
UT16030007-002_00,Beaver River-2,ALUMINUM,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT-L-16020203-004_00,Mill Hollow Reservoir,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,1992
UT14060009-003_02,Huntington Creek-3-2,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT15010003-002_01,Kanab Creek-1-1,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Non-game Fish and Other),Fully Supporting,Meeting criteria,
UT16020101-011_00,South Fork Chalk Creek,ESCHERICHIA COLI (E. COLI),Cause,Domestic Source,Not Supporting,Not meeting criteria,2020
UT16020101-011_00,South Fork Chalk Creek,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT-L-16030001-001_00,Navajo Lake,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2016
UT16010202-004_00,Bear River-3,SEDIMENT,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,1998
UT16010202-004_00,Bear River-3,SEDIMENT,Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,1998
UT-L-16030006-019_00,Red Creek Reservoir (Iron Co),TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT16020204-007_00,Jordan River-7,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2008
UT16030004-002_00,Twelve Mile Creek,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2022
UT16020204-001_02,North Canyon Creek,ESCHERICHIA COLI (E. COLI),Meeting Criteria,Recreation and Aesthetics (Infrequent Primary Contact),Fully Supporting,Meeting criteria,
UT-L-16030003-006_00,Manning Meadow Reservoir,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2016
UT-L-16020304-005_00,Grantsville Reservoir,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT16030001-005_00,Sevier River-3,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2022
UT14050007-003_00,Evacuation Creek,BORON,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14060003-005_00,Antelope Creek,SELENIUM,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT14060004-003_02,Starvation Tributaries-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2020
UT16030003-021_00,Manning Creek,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Insufficient Information,Aquatic Wildlife (Cold Water),Not Supporting,Not enough information,
UT16010203-020_00,Blacksmith Fork-1,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2016
UT-L-16020102-020_00,East Canyon Reservoir,TEMPERATURE,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT16020202-009_00,Sixth Water Creek,SELENIUM,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT-L-16030002-005_00,Lower Box Creek Reservoir,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2010
UT16020102-039_00,Farmington Creek-1,ALUMINUM,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2020
UT16030006-002_00,Pinto Creek,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2016
UT16020201-008_00,Jordan River-8,ARSENIC,Cause,Domestic Source,Not Supporting,Not meeting criteria,2014
UT16020203-006_03,Provo River-6-3,PH,Cause,Domestic Source,Not Supporting,Not meeting criteria,2020
UT16020203-006_03,Provo River-6-3,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT16020203-006_03,Provo River-6-3,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT16020203-006_03,Provo River-6-3,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2020
UT-L-14060003-230_00,Big Sand Wash Reservoir,DISSOLVED OXYGEN,Meeting Criteria,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria,
UT14060003-018_00,West Fork Duchesne,PH,Meeting Criteria,Domestic Source,Fully Supporting,Meeting criteria,
UT14060003-018_00,West Fork Duchesne,PH,Meeting Criteria,Recreation and Aesthetics (Infrequent Primary Contact),Fully Supporting,Meeting criteria,
UT14060003-018_00,West Fork Duchesne,PH,Meeting Criteria,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria,
UT14060003-018_00,West Fork Duchesne,PH,Meeting Criteria,Agricultural,Fully Supporting,Meeting criteria,
UT14070003-001_00,Johnson Valley,NUTRIENT/EUTROPHICATION BIOLOGICAL INDICATORS,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT16020102-043_00,Barnard Creek,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2016
UT16030003-026_00,Sevier River-7,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT16030003-026_00,Sevier River-7,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16030003-026_00,Sevier River-7,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT15010010-001_00,Virgin River-1,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT-L-16020201-004_01,Utah Lake other than Provo Bay,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria,2022
UT14060009-007_00,Cottonwood Creek Upper,PH,Cause,Domestic Source,Not Supporting,Not meeting criteria,2014
UT14060009-007_00,Cottonwood Creek Upper,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT14060009-007_00,Cottonwood Creek Upper,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT14060009-007_00,Cottonwood Creek Upper,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14060007-013_00,Grassy Trail Creek Upper,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT15010008-015_00,North Fork Virgin River-1,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2010
UT16020204-006_02,Big Willow Creek,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,2008
UT16030003-017_00,Sevier River-6,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2006
UT-L-16020203-001_00,Deer Creek Reservoir,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2006
UT14060009-014_00,San Rafael Lower,TEMPERATURE,Cause,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria,2022
UT16010101-004_00,Sage Creek,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT-L-16030002-004_00,Otter Creek Reservoir,PH,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT16020204-019_00,Big Cottonwood Creek-1,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT14060007-003_00,Price River-1,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16030003-010_00,Lost Creek3-Salina,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT16030005-022_00,Chicken Creek-2,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2016
UT16010203-009_00,Little Bear River-1,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2008
UT14060003-019_00,North Fork Duchesne,ALUMINUM,Meeting Criteria,Aquatic Wildlife (Cold Water),Fully Supporting,Meeting criteria,
UT16020102-053_00,Baer Creek-1,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT16020204-006_02,Big Willow Creek,TEMPERATURE,Cause,"Aquatic Wildlife (Waterfowl, Shorebirds, and Other)",Not Supporting,Not meeting criteria,2006
UT16020102-050_00,Mill Creek1-Davis,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14030005-015_00,North Cottonwood Creek,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2014
UT-L-16030006-019_00,Red Creek Reservoir (Iron Co),DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT-L-14060010-002_00,Brough Reservoir,MERCURY IN FISH TISSUE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT16010101-007_00,Big Creek,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT16020204-007_00,Jordan River-7,TEMPERATURE,Meeting Criteria,Aquatic Wildlife (Warm Water),Not Supporting,Meeting criteria,
UT16020102-040_00,Steed Creek,PH,Cause,Domestic Source,Not Supporting,Not meeting criteria,2022
UT16020102-040_00,Steed Creek,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2022
UT16020102-040_00,Steed Creek,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT16020102-040_00,Steed Creek,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2022
UT-L-16020202-002_00,Big East Lake,"PHOSPHORUS, TOTAL",Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2012
UT14030001-001_00,Cottonwood Wash,TEMPERATURE,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2014
UT14060010-011_02,Green River-2 Tribs-2,ESCHERICHIA COLI (E. COLI),Cause,Domestic Source,Not Supporting,Not meeting criteria,2014
UT14060010-011_02,Green River-2 Tribs-2,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Frequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT14060010-011_02,Green River-2 Tribs-2,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT14060010-013_00,Diamond Gulch,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT14030004-001_00,Dolores River,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria,2020
UT16020203-009_00,Main Creek-1,BENTHIC MACROINVERTEBRATES BIOASSESSMENTS,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2016
UT16020101-016_00,Chalk Creek-4,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT14060009-011_00,Cottonwood Creek Lower,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT14060009-011_00,Cottonwood Creek Lower,PH,Cause,Aquatic Wildlife (Non-game Fish and Other),Not Supporting,Not meeting criteria,2014
UT14060009-011_00,Cottonwood Creek Lower,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT16010204-008_02,Bear River-2-2,TEMPERATURE,Meeting Criteria,Aquatic Wildlife (Warm Water),Not Supporting,Meeting criteria,
UT16020102-050_00,Mill Creek1-Davis,COPPER,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2014
UT16020101-020_02,Silver Creek-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2010
UT14060010-013_00,Diamond Gulch,ALUMINUM,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT14060010-005_00,Little Brush Creek Upper,ALUMINUM,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2014
UT16020201-015_00,Dry Creek-Alpine,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT16020201-015_00,Dry Creek-Alpine,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16020201-015_00,Dry Creek-Alpine,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14080205-001_00,San Juan River-1,LEAD,Cause,Domestic Source,Not Supporting,Not meeting criteria,2022
UT14080205-001_00,San Juan River-1,LEAD,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2022
UT14050007-002_00,Bitter Creek Lower,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT14070003-011_00,Oak Creek,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16020202-009_00,Sixth Water Creek,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2022
UT16020202-009_00,Sixth Water Creek,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2022
UT16020202-009_00,Sixth Water Creek,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2022
UT16010101-004_00,Sage Creek,DISSOLVED OXYGEN,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT14060009-003_03,Rilda Canyon,PH,Cause,Domestic Source,Not Supporting,Not meeting criteria,2014
UT14060009-003_03,Rilda Canyon,PH,Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT14060009-003_03,Rilda Canyon,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT14060009-003_03,Rilda Canyon,PH,Cause,Agricultural,Not Supporting,Not meeting criteria,2014
UT14060009-003_03,Rilda Canyon,TEMPERATURE,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2014
UT16010204-001_00,Box Elder Creek-1,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT16020102-035_00,Holmes Creek-1,COPPER,Cause,Aquatic Wildlife (Warm Water),Not Supporting,Not meeting criteria,2014
UT16020101-020_01,Silver Creek-1,PH,Meeting Criteria,Domestic Source,Not Supporting,Meeting criteria,
UT16020101-020_01,Silver Creek-1,PH,Meeting Criteria,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Meeting criteria,
UT16020101-020_01,Silver Creek-1,PH,Meeting Criteria,Aquatic Wildlife (Cold Water),Not Supporting,Meeting criteria,
UT16020101-020_01,Silver Creek-1,PH,Meeting Criteria,Agricultural,Not Supporting,Meeting criteria,
UT16030001-004_00,Bear Creek,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2020
UT14060003-009_00,Dry Gulch Creek,ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2014
UT16010204-008_02,Bear River-2-2,TOTAL DISSOLVED SOLIDS (TDS),Cause,Agricultural,Not Supporting,Not meeting criteria,2020
UT-L-16020101-002_00,Rockport Reservoir,PH,Cause,Aquatic Wildlife (Cold Water),Not Supporting,Not meeting criteria,2020
UT16030006-005_00,Little Creek (Iron Co.),ESCHERICHIA COLI (E. COLI),Cause,Recreation and Aesthetics (Infrequent Primary Contact),Not Supporting,Not meeting criteria,2022
