Basin,Scenario,HUC_12,Watershed,Ecological_Index,Stressor_Index,Social_Index,RPI_Score
Kanab/Virgin,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,150100080907,Workman Wash,47.2,57.7,15.4,34.97
Kanab/Virgin,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,150100080908,Mill Creek,42.6,65.86,25.13,33.96
Kanab/Virgin,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,150100080909,Cottonwood Wash-Virgin River,21.5,30.02,12.77,34.75
Kanab/Virgin,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,150100080910,Middleton Wash-Virgin River,3,55.32,38.23,28.64
Kanab/Virgin,2A: Which temperature impaired AUs have experienced the greatest decrease in precipitation amount?,150100100307,West Mountain Valley Wash-Virgin River,21.1,53.22,61.3,43.06
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100030301,Thompson Creek,51.5,73.05,8.93,29.13
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100030302,Skutumpah Creek,48.6,72.95,19.87,31.84
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100030303,Johnson Wash Headwaters,58.9,65.23,28.73,40.8
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100030305,Red Wash-Johnson Wash,54.8,59.95,31.87,42.24
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100030503,Cottonwood Creek,61.2,42.98,29.3,49.18
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080103,Upper North Fork Virgin River,55.4,80.43,33.33,36.1
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080104,Middle North Fork Virgin River,69.8,67.4,41.1,47.83
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080107,Orderville Canyon,65.2,63.9,46.87,49.39
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080108,Pine Creek,62.3,57.35,44.7,49.88
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080109,Lower North Fork Virgin River,56.3,51.43,96.67,67.18
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080405,Wet Sandy-Ash Creek,55.6,42.65,26.1,46.35
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080508,Chinatown Wash-Virgin River,50.9,38.35,53.33,55.29
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080601,Magotsu Creek,54.7,38.68,31.13,49.05
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080602,Upper Moody Wash,64.8,39,32.5,52.77
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080603,Lower Moody Wash,62.2,29.2,29.4,54.13
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080704,Baker Dam Reservoir-Santa Clara River,36.1,44.43,19.33,37
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080801,Sand Cove Wash,41.2,28.23,25.9,46.29
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080802,Tobin Wash-Santa Clara River,46.5,23.58,25.83,49.59
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080804,Manganese Wash-Santa Clara River,32.5,16.8,65.33,60.34
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080805,Camp Spring,100,1.7,66.13,88.14
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080807,Snow Canyon,85.4,39.95,57.57,67.67
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080808,Wittwer Canyon-Santa Clara River,32.6,18.5,54.53,56.21
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080809,Cove Wash-Santa Clara River,0,27.95,50.43,40.83
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080901,Upper Gould Wash,66.7,39.23,12.5,46.66
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080902,Lower Gould Wash,24.3,40.13,16.83,33.67
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080903,Grapevine Wash-Virgin River,55.8,38,16.17,44.66
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080904,Heath Wash,55.9,36.8,33.33,50.81
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080905,Cottonwood Creek,61.5,34.55,32.83,53.26
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080906,Quail Creek,56.9,37.95,29.53,49.49
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080907,Workman Wash,47.2,29.08,15.4,44.51
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080908,Mill Creek,42.6,33.5,25.13,44.74
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080909,Cottonwood Wash-Virgin River,21.5,32.53,12.77,33.91
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100080910,Middleton Wash-Virgin River,3,35,38.23,35.41
Kanab/Virgin,2B: Which impaired temperature AUs are most vulnerable to forecasted increases in temperature due to climate change?,150100100307,West Mountain Valley Wash-Virgin River,21.1,7.5,61.3,58.3
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100030502,Lost Spring Wash,69.7,52.09,31.47,49.69
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100080405,Wet Sandy-Ash Creek,100,52.61,45.9,64.43
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100080508,Chinatown Wash-Virgin River,91.6,47.81,70.83,71.54
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100080703,Mahogany Creek-Santa Clara River,88.4,76.57,50,53.94
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100080808,Wittwer Canyon-Santa Clara River,58.6,44.5,72.47,62.19
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100080809,Cove Wash-Santa Clara River,0,12.96,66.83,51.29
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100080907,Workman Wash,84.9,39.77,31.13,58.75
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100080908,Mill Creek,76.7,47.93,44.6,57.79
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100080909,Cottonwood Wash-Virgin River,38.7,21.54,27.5,48.22
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100080910,Middleton Wash-Virgin River,5.4,49.69,50,35.24
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100090605,Lower Fort Pearce Wash,20,32.23,20.3,36.02
Kanab/Virgin,2C: Which impaired AUs with permitted point sources are predicted to have a decrease in stream flow due to drought?,150100100307,West Mountain Valley Wash-Virgin River,38.1,35.06,81.83,61.63
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100030106,Red Canyon-Kanab Creek,73.1,48.05,28.8,51.28
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100030107,Three Lakes Canyon-Kanab Creek,72.8,52.25,22.5,47.68
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100030505,Johnson Run-Kanab Creek,48.8,43.25,16.3,40.62
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080103,Upper North Fork Virgin River,64.9,62.55,39.3,47.22
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080104,Middle North Fork Virgin River,81.7,63.2,45.7,54.73
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080106,Kolob Creek,76.8,48.85,33.33,53.76
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080107,Orderville Canyon,76.3,59.48,50.43,55.75
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080108,Pine Creek,73,54.9,48.67,55.59
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080109,Lower North Fork Virgin River,65.9,50.28,97.27,70.96
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080301,Upper La Verkin Creek,73,55.25,51.53,56.43
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080302,Lower La Verkin Creek,74.5,47.63,62.27,63.05
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080405,Wet Sandy-Ash Creek,65.1,44.85,27.4,49.22
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080501,Right Fork North Creek,85.9,51.55,66.67,67.01
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080502,Little Creek,54.7,57.08,59.47,52.36
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080506,North Creek,60.2,51.2,56.8,55.27
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080508,Chinatown Wash-Virgin River,59.6,59.63,55.73,51.9
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080601,Magotsu Creek,64.1,39.53,31.53,52.04
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080602,Upper Moody Wash,75.9,38.35,32.67,56.74
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080603,Lower Moody Wash,72.9,31.33,30.1,57.23
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080701,Grass Valley Creek,67.7,44.5,33.33,52.18
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080702,Headwaters Santa Clara River,58.2,40.6,33.33,50.31
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080703,Mahogany Creek-Santa Clara River,57.6,46.35,29.83,47.03
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080704,Baker Dam Reservoir-Santa Clara River,42.3,62.63,21.83,33.84
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080801,Sand Cove Wash,48.2,39.05,27.23,45.46
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080802,Tobin Wash-Santa Clara River,54.4,33.63,27.17,49.31
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080804,Manganese Wash-Santa Clara River,38.1,35.8,65.6,55.97
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080807,Snow Canyon,100,36.13,59.2,74.36
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080808,Wittwer Canyon-Santa Clara River,38.2,23.58,56.7,57.11
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080809,Cove Wash-Santa Clara River,0,52.53,53.37,33.61
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080901,Upper Gould Wash,78.1,42.45,16.23,50.63
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080902,Lower Gould Wash,28.5,45.68,19.8,34.21
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080903,Grapevine Wash-Virgin River,65.3,44.1,19.27,46.82
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080906,Quail Creek,66.6,41.45,30.2,51.78
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080908,Mill Creek,49.9,39.43,26.6,45.69
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080909,Cottonwood Wash-Virgin River,25.2,39.8,16.47,33.96
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100080910,Middleton Wash-Virgin River,3.5,43.88,43.33,34.32
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100090604,Middle Fort Pearce Wash,76.2,19.48,32.43,63.05
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100090605,Lower Fort Pearce Wash,13,30.45,12.17,31.57
Kanab/Virgin,2D: Which impaired watersheds with impaired waters supporting species of greatest conservation need are at risk of greatest temperature change from climate change?,150100100307,West Mountain Valley Wash-Virgin River,24.8,28.68,62.27,52.8
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080103,Upper North Fork Virgin River,64.9,24.65,39.3,59.85
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080104,Middle North Fork Virgin River,81.7,31,45.7,65.47
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080106,Kolob Creek,76.8,12.85,33.33,65.76
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080107,Orderville Canyon,76.3,28.55,50.43,66.06
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080108,Pine Creek,73,24.9,48.67,65.59
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080109,Lower North Fork Virgin River,65.9,20.6,97.27,80.86
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080301,Upper La Verkin Creek,73,30.7,51.53,64.61
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080302,Lower La Verkin Creek,74.5,31.55,62.27,68.41
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080405,Wet Sandy-Ash Creek,65.1,30.95,27.4,53.85
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080501,Right Fork North Creek,85.9,23.2,66.67,76.46
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080502,Little Creek,54.7,29.3,59.47,61.62
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080506,North Creek,60.2,33.15,56.8,61.28
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080508,Chinatown Wash-Virgin River,59.6,66.1,55.73,49.74
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080601,Magotsu Creek,64.1,36.5,31.53,53.04
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080602,Upper Moody Wash,75.9,34.15,32.67,58.14
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080603,Lower Moody Wash,72.9,25.6,30.1,59.13
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080701,Grass Valley Creek,67.7,25.2,33.33,58.61
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080702,Headwaters Santa Clara River,58.2,22.4,33.33,56.38
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080703,Mahogany Creek-Santa Clara River,57.6,39.6,29.83,49.28
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080704,Baker Dam Reservoir-Santa Clara River,42.3,77.85,21.83,28.76
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080801,Sand Cove Wash,48.2,46.05,27.23,43.13
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080802,Tobin Wash-Santa Clara River,54.4,40.7,27.17,46.96
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080804,Manganese Wash-Santa Clara River,38.1,50,65.6,51.23
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080807,Snow Canyon,100,40.5,59.2,72.9
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080808,Wittwer Canyon-Santa Clara River,38.2,36.25,56.7,52.88
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080809,Cove Wash-Santa Clara River,0,88.8,53.37,21.52
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080901,Upper Gould Wash,78.1,31.75,16.23,54.19
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080902,Lower Gould Wash,28.5,43.3,19.8,35
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080903,Grapevine Wash-Virgin River,65.3,40.15,19.27,48.14
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080906,Quail Creek,66.6,34.75,30.2,54.02
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080908,Mill Creek,49.9,41.35,26.6,45.05
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080909,Cottonwood Wash-Virgin River,25.2,47.2,16.47,31.49
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100080910,Middleton Wash-Virgin River,3.5,66.65,43.33,26.73
Kanab/Virgin,3A: Which aquatic life impairments are in areas with Species of Greatest Conservation Need (SGCN)?,150100100307,West Mountain Valley Wash-Virgin River,24.8,56.9,62.27,43.39
Kanab/Virgin,4A:What recreational use and fish consumption impaired AUs are within underserved and economically challenged communities?,NA,,,,,
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030101,Reservoir Canyon-Kanab Creek,53.9,21.3,18.58,50.39
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030103,Lower Robinson Creek-Kanab Creek,73.3,24.57,27.27,58.67
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030104,Fourmile Hollow-Kanab Creek,72.5,21.9,11.87,54.16
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030106,Red Canyon-Kanab Creek,73.1,15.47,18.18,58.61
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030107,Three Lakes Canyon-Kanab Creek,72.8,20.37,30.38,60.94
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030303,Johnson Wash Headwaters,69,19.8,0,49.73
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030305,Red Wash-Johnson Wash,64.2,28.83,0,45.12
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030306,Dry Lake Canyon-Johnson Wash,65.8,14.23,30.47,60.68
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030307,Johnson Lakes,54.8,15.9,18.18,52.36
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030502,Lost Spring Wash,45.4,12,29.72,54.37
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100030503,Cottonwood Creek,71.7,16.8,43.38,66.09
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080103,Upper North Fork Virgin River,64.9,20.43,0.02,48.16
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080104,Middle North Fork Virgin River,81.7,24.07,42.78,66.81
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080106,Kolob Creek,76.8,12.03,40.22,68.33
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080107,Orderville Canyon,76.3,22.63,42.03,65.23
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080108,Pine Creek,73,20.63,50.23,67.53
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080109,Lower North Fork Virgin River,65.9,18.67,51.12,66.12
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080301,Upper La Verkin Creek,73,23.93,0,49.69
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080302,Lower La Verkin Creek,74.5,25.63,33.32,60.73
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080405,Wet Sandy-Ash Creek,65.1,24.8,21.07,53.79
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080501,Right Fork North Creek,85.9,19.5,14.02,60.14
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080502,Little Creek,54.7,23.03,13.6,48.42
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080503,Dry Creek,79.1,25.8,30.3,61.2
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080506,North Creek,60.2,25.27,61.2,65.38
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080508,Chinatown Wash-Virgin River,59.6,49.77,50.08,53.31
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080601,Magotsu Creek,64.1,27.2,28.02,54.97
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080702,Headwaters Santa Clara River,58.2,19.5,29.98,56.23
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080703,Mahogany Creek-Santa Clara River,57.6,29.8,28.47,52.09
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080704,Baker Dam Reservoir-Santa Clara River,42.3,54.5,29.42,39.07
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080801,Sand Cove Wash,48.2,34.77,29.43,47.62
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080802,Tobin Wash-Santa Clara River,54.4,31.23,29.43,50.87
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080804,Manganese Wash-Santa Clara River,38.1,38,25.25,41.78
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080807,Snow Canyon,100,36.6,37.07,66.82
Kanab/Virgin,4B: Which drinking water source protection areas provide drinking water to underserved and economically challenged communities? (These can be source waters that are miles away from the community or protection zone)?,150100080808,Wittwer Canyon-Santa Clara River,38.2,37.5,24.42,41.71
